trial,model_type,hidden_channels,num_layers,lr,batch_size,epochs,early_stopping,dropout,val_loss
113,GIN,128,4,0.0001,16,1000,30,0.2,83.88578887939452
114,GIN,128,4,0.0001,16,1000,30,0.5,80.19429962158203
115,GAT,128,4,0.0001,16,1000,30,0.2,90.77059814453125
116,GAT,128,4,0.0001,16,1000,30,0.5,90.76785888671876
117,GIN,128,4,0.0001,32,1000,30,0.2,79.49370422363282
118,GIN,128,4,0.0001,32,1000,30,0.5,77.44845306396485
119,GAT,128,4,0.0001,32,1000,30,0.2,88.89813598632813
120,GAT,128,4,0.0001,32,1000,30,0.5,90.84343688964844
121,GIN,128,4,0.0003,8,1000,30,0.2,107.48432220458984
122,GIN,128,4,0.0003,8,1000,30,0.5,128.42481842041016
123,GAT,128,4,0.0003,8,1000,30,0.2,69.53505889892578
124,GAT,128,4,0.0003,8,1000,30,0.5,90.79858642578125
125,GIN,128,4,0.0003,16,1000,30,0.2,84.75505004882812
126,GIN,128,4,0.0003,16,1000,30,0.5,83.94354583740234
127,GAT,128,4,0.0003,16,1000,30,0.2,71.94746551513671
128,GAT,128,4,0.0003,16,1000,30,0.5,90.93420349121094
129,GIN,128,4,0.0003,32,1000,30,0.2,76.22096771240234
130,GIN,128,4,0.0003,32,1000,30,0.5,75.5644808959961
131,GAT,128,4,0.0003,32,1000,30,0.2,90.78194702148437
132,GAT,128,4,0.0003,32,1000,30,0.5,90.78260009765626
133,GIN,128,4,0.001,8,1000,30,0.2,117.8003921508789
134,GIN,128,4,0.001,8,1000,30,0.5,121.52622100830078
135,GAT,128,4,0.001,8,1000,30,0.2,70.01476211547852
136,GAT,128,4,0.001,8,1000,30,0.5,90.88750701904297
137,GIN,128,4,0.001,16,1000,30,0.2,82.55721008300782
138,GIN,128,4,0.001,16,1000,30,0.5,78.0641714477539
139,GAT,128,4,0.001,16,1000,30,0.2,70.98779876708984
140,GAT,128,4,0.001,16,1000,30,0.5,90.76539672851563
141,GIN,128,4,0.001,32,1000,30,0.2,76.80718658447266
142,GIN,128,4,0.001,32,1000,30,0.5,75.76132019042969
143,GAT,128,4,0.001,32,1000,30,0.2,69.76478942871094
144,GAT,128,4,0.001,32,1000,30,0.5,90.7908251953125
145,GIN,128,5,0.0001,8,1000,30,0.2,194.90693756103516
146,GIN,128,5,0.0001,8,1000,30,0.5,137.10871795654296
147,GAT,128,5,0.0001,8,1000,30,0.2,90.79320739746093
148,GAT,128,5,0.0001,8,1000,30,0.5,90.79902160644531
149,GIN,128,5,0.0001,16,1000,30,0.2,96.78568420410156
150,GIN,128,5,0.0001,16,1000,30,0.5,85.26397399902343
151,GAT,128,5,0.0001,16,1000,30,0.2,90.82610137939453
